Delay (ms),Transfer (GBytes),Bandwidth (Mbits/sec),irtt (microseconds)
10,1.09,934,10308
10,1.09,934,10305
10,1.09,934,10320
10,1.09,934,10214
10,1.09,934,10241
10,1.09,935,10285
10,1.09,934,10260
10,1.09,935,10235
10,1.09,934,10286
10,1.09,934,10259
