Delay (ms),Transfer (GBytes),Bandwidth (Mbits/sec),irtt (microseconds)
30,0.829,709,30261
30,0.829,709,30273
30,0.828,708,30263
30,0.828,708,30312
30,0.827,707,30263
30,0.828,708,30258
30,0.828,708,30258
30,0.828,708,30263
30,0.828,708,30299
30,0.829,709,30265
