Delay (ms),Transfer (GBytes),Bandwidth (Mbits/sec),irtt (microseconds)
20,1.08,926,20276
20,1.08,925,20289
20,1.08,926,20289
20,1.08,927,20283
20,1.08,926,20285
20,1.08,926,20284
20,1.08,926,20286
20,1.08,927,20282
20,1.08,927,20287
20,1.08,927,20225
