Delay (ms),Transfer (GBytes),Bandwidth (Mbits/sec),irtt (microseconds)
50,0.508,433,50264
50,0.510,435,50262
50,0.510,435,50225
50,0.511,435,50256
50,0.509,434,50260
50,0.511,435,50268
50,0.511,435,50262
50,0.509,434,50275
50,0.510,435,50273
50,0.509,434,50230
