Delay (ms),Transfer (GBytes),Bandwidth (Mbits/sec),irtt (microseconds)
0,1.10,941,256
2,1.10,938,2348
4,1.10,939,4344
8,1.09,936,8304
16,1.09,929,16262
32,0.778,666,32254 
64,0.398,340,64242
