Delay (ms),Transfer (GBytes),Bandwidth (Mbits/sec),irtt (microseconds)
40,0.628,536,40267
40,0.628,536,40258
40,0.626,534,40242
40,0.627,535,40207
40,0.627,534,40261
40,0.627,535,40261
40,0.627,535,40265
40,0.627,536,40261
40,0.626,535,40228
40,0.626,535,40257
