Delay (ms),Transfer (GBytes),Bandwidth (Mbits/sec),irtt (microseconds)
0,1.10,940,241
5,1.10,938,5285
10,1.09,933,10318
15,1.09,930,15297
20,1.08,927,20284
25,0.987,845,25232
30,0.829,708,30313
35,0.713,610,35262
40,0.627,535,40264
45,0.563,480,45223
50,0.513,438,50314
55,0.465,395,55256
60,0.426,362,60262
