Delay (ms),Transfer (GBytes),Bandwidth (Mbits/sec),irtt (microseconds)
60,0.426,362,60282
60,0.427,363,60231
60,0.430,366,60266
60,0.432,368,60265
60,0.425,362,60210
60,0.429,365,60210
60,0.428,365,60270
60,0.429,365,60260
60,0.427,363,60227
60,0.430,366,60264
