Delay (ms),Transfer (GBytes),Bandwidth (Mbits/sec),irtt (microseconds)
0,1.10,941,256
0,1.10,941,163
0,1.10,940,160
0,1.10,940,221
0,1.10,941,135
0,1.10,940,251
0,1.10,941,95
0,1.10,941,66
0,1.10,940,94
0,1.10,940,168
